City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
san antonio de pale,-1.4014,5.6325,73.31,75.0,93.0,11.52,GQ,1722980547.0
grytviken,-54.2811,-36.5092,16.3,72.0,26.0,7.87,GS,1722980477.0
bamboo flat,11.7,92.7167,78.89,89.0,100.0,2.3,IN,1722980547.0
port alfred,-33.5906,26.891,57.65,75.0,0.0,8.3,ZA,1722980547.0
west island,-12.1568,96.8225,80.58,74.0,100.0,13.8,CC,1722980547.0
waitangi,-43.9535,-176.5597,48.81,96.0,0.0,3.4,NZ,1722980489.0
proletariy,58.4342,31.7046,57.04,96.0,50.0,5.7,RU,1722980547.0
murrells inlet,33.551,-79.0414,82.06,95.0,75.0,12.66,US,1722980281.0
mundri,-6.9558,111.71,72.21,84.0,83.0,2.95,ID,1722980547.0
adamstown,-25.066,-130.1015,65.93,64.0,42.0,9.82,PN,1722980547.0
ajuchitlan del progreso,18.1519,-100.4835,87.37,69.0,81.0,2.57,MX,1722980547.0
ushuaia,-54.8,-68.3,29.86,69.0,0.0,4.61,AR,1722980349.0
bethel,41.3712,-73.414,76.35,79.0,73.0,1.99,US,1722980547.0
kikwit,-5.041,18.8162,80.58,30.0,100.0,2.75,CD,1722980547.0
yellowknife,62.456,-114.3525,69.42,50.0,20.0,8.05,CA,1722980491.0
ola,59.5833,151.2833,50.11,92.0,100.0,3.6,RU,1722980548.0
nar'yan-mar,67.6713,53.087,42.24,85.0,22.0,7.85,RU,1722980548.0
aguie,13.506,7.7786,80.53,71.0,96.0,14.38,NE,1722980548.0
invercargill,-46.4,168.35,45.01,84.0,98.0,4.0,NZ,1722980548.0
mantua,45.1667,10.7833,81.64,80.0,49.0,1.99,IT,1722980548.0
hassi messaoud,31.6804,6.0729,94.86,21.0,0.0,5.75,DZ,1722980548.0
port-aux-francais,-49.35,70.2167,36.86,79.0,53.0,11.14,TF,1722980548.0
puerto natales,-51.7236,-72.4875,30.65,86.0,75.0,3.44,CL,1722980548.0
iskateley,67.6803,53.1512,42.28,84.0,20.0,7.76,RU,1722980548.0
codrington,-38.2667,141.9667,43.92,96.0,58.0,10.71,AU,1722980548.0
olinda,-8.0089,-34.8553,80.33,69.0,40.0,12.66,BR,1722980548.0
colonia,50.9333,6.95,74.97,75.0,0.0,1.14,DE,1722980548.0
novyy urengoy,66.0833,76.6333,44.6,83.0,0.0,12.3,RU,1722980549.0
nemuro,43.3236,145.575,63.57,100.0,100.0,6.33,JP,1722980549.0
aguilas,37.4063,-1.5829,81.5,62.0,0.0,1.86,ES,1722980549.0
albany,42.6001,-73.9662,70.21,95.0,92.0,5.41,US,1722980492.0
taoudenni,22.6783,-3.9836,104.85,13.0,15.0,5.68,ML,1722980549.0
ritchie,-29.038,24.6028,42.01,18.0,0.0,8.5,ZA,1722980549.0
as sanad,34.4628,9.264,80.85,75.0,0.0,5.73,TN,1722980549.0
villamontes,-21.25,-63.5,79.79,47.0,58.0,6.82,BO,1722980549.0
santa cruz del sur,20.7147,-77.9956,86.92,70.0,93.0,7.34,CU,1722980549.0
safotu,-13.4513,-172.4018,80.24,85.0,59.0,18.81,WS,1722980549.0
amungan,15.3652,119.9582,79.74,83.0,81.0,6.06,PH,1722980550.0
mana,5.6592,-53.7767,80.92,79.0,3.0,7.96,GF,1722980550.0
puerto ayora,-0.7393,-90.3518,75.16,90.0,58.0,8.01,EC,1722980550.0
anadyr,64.75,177.4833,41.5,75.0,75.0,15.66,RU,1722980550.0
thompson,55.7435,-97.8558,60.96,72.0,100.0,4.61,CA,1722980550.0
pingliang,35.5392,106.6861,67.05,93.0,81.0,2.77,CN,1722980550.0
kiruhura,-2.4773,29.7679,60.28,35.0,3.0,4.27,RW,1722980550.0
dudinka,69.4058,86.1778,43.38,74.0,0.0,19.51,RU,1722980550.0
hamilton,39.1834,-84.5333,95.09,52.0,40.0,11.5,US,1722980550.0
bredasdorp,-34.5322,20.0403,48.99,91.0,0.0,3.02,ZA,1722980550.0
cantel,14.8167,-91.45,70.2,79.0,85.0,3.36,GT,1722980555.0
kiunga,-6.1219,141.2906,72.82,98.0,100.0,5.06,PG,1722980555.0
namibe,-15.1961,12.1522,65.01,91.0,35.0,5.75,AO,1722980556.0
bikenibeu village,1.3673,173.1241,85.96,74.0,20.0,4.61,KI,1722980556.0
hasaki,35.7333,140.8333,81.28,90.0,27.0,9.8,JP,1722980556.0
lerwick,60.1545,-1.1494,57.2,90.0,0.0,11.86,GB,1722980556.0
canutama,-6.5339,-64.3831,91.11,29.0,7.0,3.33,BR,1722980556.0
alesund,62.4723,6.1549,66.33,98.0,20.0,3.44,NO,1722980556.0
mahabaleshwar,17.9167,73.6667,67.12,97.0,100.0,3.76,IN,1722980556.0
longyearbyen,78.2186,15.6401,48.04,93.0,75.0,8.05,SJ,1722980556.0
hermanus,-34.4187,19.2345,48.79,85.0,0.0,0.98,ZA,1722980556.0
keflavik,64.0049,-22.5624,52.23,93.0,0.0,6.91,IS,1722980556.0
ribeira grande,38.5167,-28.7,77.4,73.0,40.0,9.22,PT,1722980556.0
whitehorse,60.7161,-135.0538,80.1,28.0,0.0,16.11,CA,1722980556.0
tiksi,71.6872,128.8694,51.12,85.0,100.0,6.62,RU,1722980556.0
puerto aysen,-45.4,-72.7,40.06,95.0,100.0,1.68,CL,1722980468.0
edinburgh of the seven seas,-37.0676,-12.3116,50.67,61.0,96.0,21.56,SH,1722980490.0
aasiaat,68.7098,-52.8699,38.7,96.0,75.0,6.93,GL,1722980557.0
blackmans bay,-43.0167,147.3167,51.73,70.0,97.0,5.99,AU,1722980557.0
coahuayana de hidalgo,18.7,-103.6583,89.11,64.0,80.0,5.59,MX,1722980557.0
bilibino,68.0546,166.4372,45.01,56.0,13.0,2.53,RU,1722980557.0
rongelap,11.1635,166.8941,83.41,77.0,95.0,11.5,MH,1722980557.0
isafjordur,66.0755,-23.124,43.75,95.0,99.0,4.65,IS,1722980557.0
foso,5.7012,-1.2866,71.96,89.0,99.0,6.04,GH,1722980557.0
prien,30.1819,-93.2738,96.78,53.0,0.0,0.0,US,1722980557.0
karbala,32.616,44.0249,94.57,19.0,0.0,5.5,IQ,1722980557.0
ghadamis,30.1337,9.5007,86.4,37.0,0.0,18.68,LY,1722980557.0
swakopmund,-22.6833,14.5333,53.98,83.0,67.0,3.0,NA,1722980557.0
yigo village,13.5361,144.8886,79.92,88.0,0.0,0.0,GU,1722980558.0
sur,22.5667,59.5289,81.63,73.0,86.0,12.77,OM,1722980558.0
callao,-12.0667,-77.15,68.41,83.0,30.0,14.81,PE,1722980558.0
ulladulla,-35.35,150.4667,48.02,61.0,6.0,3.89,AU,1722980558.0
santa luzia,-19.7697,-43.8514,76.1,38.0,0.0,6.91,BR,1722980558.0
san andres,12.5847,-81.7006,82.42,89.0,40.0,13.8,CO,1722980558.0
chonchi,-42.6128,-73.8092,47.41,91.0,99.0,1.57,CL,1722980558.0
suntar,62.1444,117.6319,53.55,77.0,72.0,4.45,RU,1722980558.0
margaret river,-33.95,115.0667,60.19,66.0,76.0,24.47,AU,1722980558.0
vadso,70.0744,29.7487,61.68,71.0,0.0,5.75,NO,1722980558.0
wuhan,30.5833,114.2667,85.1,47.0,75.0,5.64,CN,1722980558.0
stanley,54.868,-1.6985,57.79,76.0,0.0,9.22,GB,1722980558.0
kerikeri,-35.2268,173.9474,54.91,95.0,24.0,1.99,NZ,1722980558.0
badger,64.8,-147.5333,80.82,39.0,75.0,5.75,US,1722980558.0
lazaro cardenas,17.9583,-102.2,86.94,64.0,80.0,10.78,MX,1722980559.0
minas de marcona,-15.2119,-75.1103,54.57,77.0,4.0,16.28,PE,1722980559.0
slavyanka,42.8633,131.3847,70.59,100.0,100.0,0.81,RU,1722980559.0
magistral'nyy,56.1725,107.4458,58.01,77.0,2.0,1.12,RU,1722980559.0
razole,16.4833,81.8333,76.96,91.0,100.0,3.78,IN,1722980559.0
lebu,-37.6167,-73.65,45.93,74.0,52.0,4.68,CL,1722980515.0
brookings,44.3114,-96.7984,73.18,60.0,0.0,9.22,US,1722980559.0
maxixe,-23.8597,35.3472,64.81,81.0,8.0,6.29,MZ,1722980564.0
mariehamn,60.0973,19.9348,63.82,100.0,0.0,2.3,AX,1722980564.0
ancud,-41.8697,-73.8203,44.13,83.0,36.0,6.44,CL,1722980564.0
kodiak,57.79,-152.4072,54.91,100.0,100.0,13.8,US,1722980533.0
enewetak,11.3474,162.3373,83.3,77.0,49.0,10.89,MH,1722980564.0
happy valley-goose bay,53.3168,-60.3315,64.71,59.0,75.0,19.57,CA,1722980564.0
igunga,-4.2833,33.8833,69.62,29.0,5.0,7.47,TZ,1722980564.0
tolanaro,-25.0319,46.9987,71.67,83.0,75.0,11.5,MG,1722980565.0
remire-montjoly,4.9167,-52.2667,80.64,83.0,75.0,5.75,GF,1722980565.0
